,PR,NPC,POLY,EBR
464,51,8,6.746928412748788,0.01666666666666672
465,71,8,6.916448253878303,0.050000000000000044
466,65,12,8.614482710345793,0.0
467,72,11,9.359872611464969,0.0
468,64,8,6.407736251634661,0.0
469,54,6,7.586579199125325,0.025000000000000022
470,64,7,10.7518583063627,0.0
471,69,9,8.533551912568306,0.0
472,38,7,4.241307098294141,0.0
473,48,7,5.4929739313152535,0.0
474,47,9,4.40126294284255,0.0
475,74,11,6.799608446371137,0.0
476,82,8,9.29308320505127,0.0
477,65,11,7.179461257500653,0.0
478,60,11,6.385700930418911,0.0
479,68,10,8.283516258077752,0.012820512820512775
480,34,10,5.089273757978842,0.01666666666666672
481,63,7,8.093926178066162,0.0
482,56,10,3.9176435376864367,0.0
483,60,11,8.397748983916351,0.0
484,68,9,6.642478813559322,0.0
485,48,9,4.2733149970227124,0.02020202020202022
486,65,7,5.457191058625053,0.0
487,47,8,6.186062914374383,0.06999999999999995
488,50,8,9.100810484566304,0.0
489,67,7,9.484070873701667,0.0
490,55,8,8.725324333800842,0.0
491,55,7,5.6611420075987,0.0
492,70,8,9.923450119910687,0.01041666666666663
493,72,8,10.703726355336158,0.0
494,38,8,6.8201909476661955,0.01666666666666672
495,38,8,6.6142100888130555,0.0
496,48,7,5.791884676988788,0.0
497,39,7,6.2620608737663055,0.0
498,48,9,6.22481243301179,0.0
499,67,9,9.046391052960178,0.0
500,67,7,7.532641800926948,0.0
501,45,10,5.020995387898396,0.0
502,48,8,5.487035670356703,0.0
503,56,7,5.478229052323454,0.016949152542372836
504,63,9,5.746353349577756,0.0
505,72,10,8.447624995662885,0.0
506,67,8,9.028324422705039,0.0
507,60,12,4.080111306385471,0.025000000000000022
508,55,10,5.6019421741805075,0.0
509,64,12,5.730058389229359,0.0
510,68,8,6.596025285369958,0.01666666666666672
511,74,9,6.841005762897915,0.0
512,67,9,5.017437884659221,0.0
513,76,12,6.332298136645963,0.012499999999999956
514,43,7,6.176815027923507,0.012658227848101222
515,48,7,4.07932566649242,0.0
516,48,9,5.72448910312988,0.0
517,38,6,3.8758576671453646,0.0
518,48,8,6.694726593337193,0.0
519,51,8,6.832841250593136,0.010000000000000009
520,36,7,3.939115374367173,0.01666666666666672
521,51,9,6.053408733898838,0.0
522,36,7,3.9408525754884547,0.01666666666666672
523,36,7,6.187117235345582,0.013513513513513487
524,52,8,4.9796362505829315,0.0
525,57,7,5.070397797398652,0.016949152542372836
526,35,8,6.535049882240863,0.010000000000000009
527,60,9,5.095138454849317,0.015000000000000013
528,21,12,4.741739450699779,0.0
529,32,11,6.104207660583843,0.010204081632653073
530,35,7,3.366482654110516,0.020000000000000018
531,31,8,4.848520583190394,0.0
532,44,10,5.821689595872743,0.0
533,45,7,5.411529645003408,0.0
534,37,7,5.670298416032204,0.0
535,43,7,5.968738712113749,0.0
536,63,8,5.27362184172061,0.0
537,51,11,7.861258256490746,0.0
538,21,6,4.4633186844343635,0.013157894736842146
539,36,7,7.0996748628327575,0.0
540,59,7,7.934478772593526,0.0
541,50,9,8.665825045416756,0.022727272727272707
542,36,9,7.85357483991934,0.0
543,38,8,4.200815263545264,0.0
544,43,8,5.351625856231792,0.0
545,70,12,5.328040334965663,0.0
546,56,10,7.20630034710852,0.0
547,63,12,6.280687078244381,0.06000000000000005
548,63,12,6.56810777980233,0.010309278350515427
549,35,7,5.698741066159596,0.0
550,50,7,7.379108141279149,0.0
551,38,7,5.762649745637547,0.0
552,41,8,4.662512706599902,0.0
553,38,7,5.7773340433084845,0.0
554,49,9,6.976159857552676,0.0
555,56,10,4.988289233828647,0.0
556,50,9,5.227574342590317,0.015151515151515138
557,43,11,4.930075655847771,0.0
558,44,8,9.679133514033401,0.0
559,43,7,9.746072684642439,0.012658227848101222
560,50,9,8.332338441932995,0.0
561,22,7,4.493388393445503,0.0
562,60,7,8.889383585283358,0.0
563,55,8,6.500313665929276,0.0
564,64,8,7.016758182985096,0.0
565,55,7,7.184550396454417,0.0
566,55,9,6.550293914813963,0.0
567,44,7,3.5653462766303994,0.0
568,43,7,4.205396421937628,0.0
569,38,7,4.390636215334421,0.0
570,40,7,6.080953621677957,0.0
571,36,7,4.724235848803879,0.0
